timestamp,tracking_value
2026-06-17T14:26:21.498Z,apply-code-samung-pay-2026
2026-06-17T14:52:23.410Z,apply-code-welcome-offer-2026
2026-06-17T14:55:21.450Z,apply-code-samung-pay-2026
2026-06-17T15:02:14.127Z,apply-code-welcome-offer-2026
2026-06-17T15:08:09.224Z,apply-code-samung-pay-2026
2026-06-17T15:09:51.265Z,pdp-copy-code-welcome-offer-2026
2026-06-17T15:12:01.589Z,cart-toggle-voucher-block
2026-06-17T15:13:48.518Z,pdp-copy-code-welcome-offer-2026
2026-06-17T15:15:53.589Z,pdp-copy-code-welcome-offer-2026
2026-06-17T15:16:14.262Z,shop-offer-copy-code-welcome-offer-2026
2026-06-17T15:18:12.100Z,cart-toggle-voucher-block
2026-06-17T15:22:01.214Z,cart-toggle-voucher-block
2026-06-17T15:29:52.717Z,cart-toggle-voucher-block
2026-06-17T15:30:09.897Z,apply-code-samung-pay-2026
2026-06-17T15:32:52.263Z,pdp-copy-code-welcome-offer-2026
2026-06-17T15:33:22.094Z,shop-offer-copy-code-welcome-offer-2026
2026-06-17T15:34:19.548Z,cart-toggle-voucher-block
2026-06-17T15:34:41.622Z,apply-code-samung-pay-2026
2026-06-17T15:34:59.675Z,apply-code-welcome-offer-2026
2026-06-17T15:35:26.448Z,apply-code-welcome-offer-2026
2026-06-17T15:36:31.315Z,cart-toggle-voucher-block
2026-06-17T15:36:57.111Z,apply-code-welcome-offer-2026
2026-06-17T15:38:05.422Z,apply-code-dbs-closed-2026-s26
2026-06-17T15:38:21.000Z,apply-code-samung-pay-2026
2026-06-17T15:38:57.785Z,cart-toggle-voucher-block
2026-06-17T15:39:17.271Z,cart-toggle-voucher-block
2026-06-17T15:39:31.325Z,apply-code-dbs-closed-2026-tv
2026-06-17T15:43:15.588Z,apply-code-dbs-closed-2026-tv
2026-06-17T15:44:08.304Z,cart-toggle-voucher-block
2026-06-17T15:44:38.574Z,cart-toggle-voucher-block
2026-06-17T15:44:57.085Z,apply-code-welcome-offer-2026
2026-06-17T15:45:14.176Z,apply-code-welcome-offer-2026
2026-06-17T15:45:49.623Z,cart-toggle-voucher-block
2026-06-17T15:46:37.686Z,apply-code-welcome-offer-2026
2026-06-17T15:51:00.192Z,apply-code-dbs-closed-2026-s26
2026-06-17T15:57:34.405Z,pdp-copy-code-welcome-offer-2026
2026-06-17T15:58:10.500Z,cart-toggle-voucher-block
2026-06-17T15:58:37.511Z,apply-code-samung-pay-2026
2026-06-17T15:58:52.925Z,apply-code-welcome-offer-2026
2026-06-17T15:59:38.666Z,cart-toggle-voucher-block
2026-06-17T16:01:54.402Z,apply-code-samung-pay-2026
2026-06-17T16:02:29.182Z,apply-code-samung-pay-2026
2026-06-17T16:04:04.035Z,apply-code-welcome-offer-2026
2026-06-17T16:05:20.124Z,pdp-toggle-voucher-block
2026-06-17T16:07:28.097Z,pdp-copy-code-welcome-offer-2026
2026-06-17T16:13:39.924Z,apply-code-welcome-offer-2026
2026-06-17T16:14:40.603Z,apply-code-samung-pay-2026
2026-06-17T16:15:10.767Z,apply-code-welcome-offer-2026
2026-06-17T16:15:50.082Z,apply-code-dbs-closed-2026-s26
2026-06-17T16:16:20.529Z,apply-code-welcome-offer-2026
2026-06-17T16:16:44.566Z,pdp-toggle-voucher-block
2026-06-17T16:18:11.133Z,pdp-toggle-voucher-block
2026-06-17T16:18:45.403Z,pdp-copy-code-welcome-offer-2026
2026-06-17T16:20:14.287Z,apply-code-welcome-offer-2026
2026-06-17T16:20:33.796Z,apply-code-welcome-offer-2026
2026-06-17T16:22:01.558Z,apply-code-samung-pay-2026
2026-06-17T16:25:36.696Z,apply-code-samung-pay-2026
2026-06-17T16:25:57.850Z,pdp-copy-code-welcome-offer-2026
2026-06-17T16:27:36.860Z,apply-code-dbs-closed-2026-s26
